Entity,Mapped label
Afghanistan,AFGHANISTAN
Albania,ALBANIA
ALGERIA,ALGERIA
Algeria,ALGERIA
Argentina,ARGENTINA
Argentine,ARGENTINA
Buenos Aires,ARGENTINA
Armenia,ARMENIA
Australia,AUSTRALIA
AUSTRALIA,AUSTRALIA
AUSTRALIAN,AUSTRALIA
AUSTRIA,AUSTRIA
Austria,AUSTRIA
Vienna,AUSTRIA
Azerbaijan,AZERBAIJAN
BAHAMAS,BAHAMAS
Bahamas,BAHAMAS
Nassau,BAHAMAS
BANGLADESH,BANGLADESH
Bangladesh,BANGLADESH
Dhaka,BANGLADESH
Barbados,BARBADOS
Belarus,BELARUS
BELGIUM,BELGIUM
Belgium,BELGIUM
Brussels,BELGIUM
Benin,BENIN
BOLIVIA,BOLIVIA
Bolivia,BOLIVIA
BRAZIL,BRAZIL
Brazil,BRAZIL
Brazilian,BRAZIL
BULGARIA,BULGARIA
Bulgaria,BULGARIA
Burkina,BURKINA FASO
Ouagadougou,BURKINA FASO
Burundi,BURUNDI
Bhutan,BHUTAN
CANADA,CANADA
Canada,CANADA
Canadian,CANADA
CANADIAN,CANADA
the CARICOM States,CARIBBEAN COMMUNITY (CARICOM/CC)
Central African Republic,CENTRAL AFRICAN REPUBLIC
CHILE,CHILE
Chile,CHILE
Beijing,CHINA
CHINA,CHINA
China,CHINA
PRC,CHINA
the People's Republic of China,CHINA
COLOMBIA,COLOMBIA
Colombia,COLOMBIA
Costa Rica,COSTA RICA
COSTA RICA,COSTA RICA
Costa Rican,COSTA RICA
Croatia,CROATIA
Croatian,CROATIA
CUBA,CUBA
Cuba,CUBA
Czech Republic,CZECH REPUBLIC
Prague,CZECH REPUBLIC
The Czech Republic,CZECH REPUBLIC
the Czech Republic,CZECH REPUBLIC
ZAIRE,DEMOCRATIC REPUBLIC OF THE CONGO (DRC)
DENMARK,DENMARK
Denmark,DENMARK
Djibouti,DJIBOUTI
ECUADOR,ECUADOR
EGYPT,EGYPT
Egypt,EGYPT
EL SALVADOR,EL SALVADOR
El Salvador,EL SALVADOR
ETHIOPIA,ETHIOPIA
Ethiopia,ETHIOPIA
EU,EUROPEAN UNION
Micronesia,FEDERATED STATES OF MICRONESIA
FIJI,FIJI
Fiji,FIJI
FINLAND,FINLAND
Finland,FINLAND
FRANCE,FRANCE
France,FRANCE
French,FRANCE
Paris,FRANCE
GAMBIA,GAMBIA
Gambia,GAMBIA
GEORGIA,GEORGIA
Georgia,GEORGIA
Berlin,GERMANY
German,GERMANY
Germany,GERMANY
GERMANY,GERMANY
Ghana,GHANA
Greece,GREECE
Guatemala,GUATEMALA
HAITI,HAITI
Honduran,HONDURAS
HONDURAS,HONDURAS
Honduras,HONDURAS
Hungary,HUGARY
Budapest,HUNGARY
HUNGARY,HUNGARY
Iceland,ICELAND
India,INDIA
INDIA,INDIA
Indian,INDIA
New Delhi,INDIA
INDONESIA,INDONESIA
Indonesia,INDONESIA
Indonesian,INDONESIA
IRAN,IRAN
Iran,IRAN
Israel,ISRAEL
Italian,ITALIA
Italy,ITALIA
Rome,ITALIA
Jamaica,JAMAICA
JAPAN,JAPAN
Japan,JAPAN
JAPANESE,JAPAN
Japanese,JAPAN
Tokyo,JAPAN
JORDAN,JORDAN
Jordan,JORDAN
KAZAKHSTAN,KAZAKHSTAN
Kazakhstan,KAZAKHSTAN
Kenya,KENYA
Kenyan,KENYA
