year,paragraph_id,actors
1999,1,"AUSTRIA, CANADA, FINLAND, FRANCE, GERMANY, ICELAND, NETHERLANDS, NORWAY, SWEDEN, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1999,3,"ARGENTINA, GERMANY"
1999,5,GERMANY
1999,6,GERMANY
1999,12,"ARGENTINA, CHINA, EUROPEAN UNION, G77, JAPAN, UNITED STATES OF AMERICA (USA)"
1999,13,"ARGENTINA, GERMANY"
1999,14,"ARGENTINA, GERMANY, POLAND"
1999,15,"CHINA, G77"
1999,17,"AOSIS, AUSTRALIA, BRAZIL, CANADA, CHINA, EUROPEAN UNION, G77, GAMBIA, NETHERLANDS, NEW ZEALAND, NORWAY, SAUDI ARABIA, UGANDA, UKRAINE, UNITED STATES OF AMERICA (USA)"
1999,18,EUROPEAN UNION
1999,19,"AUSTRALIA, EUROPEAN UNION, JAMAICA, TANZANIA, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1999,21,"AOSIS, CANADA, CHINA, EUROPEAN UNION, G77, IRAN, MAURITANIA, SOUTH KOREA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,22,"CHINA, EUROPEAN UNION, G77, INDIA"
1999,24,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, JAPAN, PHILIPPINES, UNITED STATES OF AMERICA (USA)"
1999,25,"AOSIS, AUSTRALIA, CHINA, EUROPEAN UNION, PHILIPPINES, SAUDI ARABIA, SLOVENIA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,27,"AOSIS, AUSTRALIA, CANADA, CHINA, G77, GAMBIA, IRAN, JAPAN, KUWAIT, LIBYA, MALAYSIA, SAUDI ARABIA, SWEDEN, UNITED STATES OF AMERICA (USA)"
1999,28,"AOSIS, AUSTRALIA, CHINA, EUROPEAN UNION, G77, IRAN, JAPAN, NETHERLANDS, POLAND, SOUTH KOREA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,30,"AUSTRALIA, BRAZIL, CHINA, EUROPEAN UNION, G77, MALAYSIA, PERU"
1999,31,"ITALIA, SWITZERLAND"
1999,32,"AZERBAIJAN, GEORGIA, KAZAKHSTAN, MEXICO, PAKISTAN, TURKEY, UNITED STATES OF AMERICA (USA)"
1999,33,"CHINA, G77, SAUDI ARABIA"
1999,35,"AUSTRALIA, CANADA, CHINA, EUROPEAN UNION, G77, ICELAND, MALAYSIA, UGANDA, UNITED STATES OF AMERICA (USA)"
1999,36,"AOSIS, AUSTRALIA, BOLIVIA, CANADA, CHINA, EUROPEAN UNION, G77, INDONESIA, IRAN, JAPAN, MEXICO, MOROCCO, NEW ZEALAND, NORWAY, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SUDAN, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,38,"AOSIS, AUSTRALIA, BOLIVIA, CANADA, CHINA, COLOMBIA, EUROPEAN UNION, FRANCE, G77, JAPAN, MAURITANIA, NEW ZEALAND, NORWAY, SOUTH KOREA, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,39,"AOSIS, AUSTRALIA, AUSTRIA, CANADA, EUROPEAN UNION, JAPAN, MARSHALL ISLANDS, NEW ZEALAND, NORWAY, UNITED STATES OF AMERICA (USA)"
1999,41,"ARGENTINA, AUSTRALIA, BRAZIL, CANADA, CHINA, EUROPEAN UNION, IRAN, JAPAN, KUWAIT, NEW ZEALAND, POLAND, RUSSIA, SAUDI ARABIA, SOUTH AFRICA, SWITZERLAND, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1999,42,"AUSTRALIA, BRAZIL, CANADA, DENMARK, EUROPEAN UNION, ICELAND, IRAN, JAPAN, KUWAIT, NEW ZEALAND, SAUDI ARABIA, SWITZERLAND, UNITED ARAB EMIRATES (UAE), UNITED STATES OF AMERICA (USA)"
1999,44,"AUSTRALIA, CANADA, EUROPEAN UNION, JAPAN, NEW ZEALAND, NEW ZELAND, SWITZERLAND, UNITED STATES OF AMERICA (USA)"
1999,45,UNITED STATES OF AMERICA (USA)
1999,46,GERMANY
1999,48,"AUSTRALIA, DENMARK, EUROPEAN UNION, NORWAY, UNITED STATES OF AMERICA (USA)"
1999,50,"DENMARK, FRANCE, JAPAN, SAUDI ARABIA, UNITED STATES OF AMERICA (USA)"
1999,51,"EUROPEAN UNION, POLAND, UNITED STATES OF AMERICA (USA)"
1999,52,"BULGARIA, CHINA, EUROPEAN UNION, FRANCE, G77, GERMANY, HAITI, JAPAN, SPAIN, SWEDEN, UNITED KINGDOM (UK), UNITED STATES OF AMERICA (USA)"
1999,54,"AFRICAN GROUP, AOSIS, ARGENTINA, AUSTRALIA, BANGLADESH, CHINA, EUROPEAN UNION, G77, GERMANY, INDIA, JAPAN, KAZAKHSTAN, NEPAL, UNITED STATES OF AMERICA (USA)"
