Source,Target,Weight,Start,End,Positive_count,Negative_count,Sign
AOSIS,EUROPEAN UNION,1,1996,1996,1,0,positive
AUSTRALIA,USA,1,1996,1996,1,0,positive
BRAZIL,PERU,1,1996,1996,1,0,positive
BURKINA FASO,IRAN,1,1996,1996,1,0,positive
CHINA,MALAYSIA,1,1996,1996,1,0,positive
DENMARK,SWEDEN,1,1996,1996,1,0,positive
EL SALVADOR,PHILIPPINES,1,1996,1996,1,0,positive
GEORGIA,INDIA,1,1996,1996,1,0,positive
GEORGIA,PAKISTAN,1,1996,1996,1,0,positive
INDIA,PAKISTAN,1,1996,1996,1,0,positive
INDONESIA,UGANDA,1,1996,1996,1,0,positive
IRAN,USA,1,1996,1996,1,0,positive
JAPAN,USA,1,1996,1996,1,0,positive
KUWAIT,SAUDI ARABIA,1,1996,1996,1,0,positive
KUWAIT,VENEZUELA,1,1996,1996,1,0,positive
Parties,SBI,2,1996,1996,2,0,positive
Parties,SBSTA,2,1996,1996,2,0,positive
RUSSIA,SAUDI ARABIA,1,1996,1996,1,0,positive
SBI,SBSTA,2,1996,1996,2,0,positive
SBI,SBSTA and SBI contact group,2,1996,1996,2,0,positive
SBSTA,SBSTA and SBI contact group,2,1996,1996,2,0,positive
SUDAN,TURKMENISTAN,1,1996,1996,1,0,positive
ARGENTINA,MALTA,1,1997,1997,1,0,positive
AUSTRALIA,BANGLADESH,1,1997,1997,1,0,positive
AUSTRALIA,MALAYSIA,1,1997,1997,1,0,positive
AUSTRALIA,NORWAY,1,1997,1997,1,0,positive
AUSTRALIA,USA,1,1997,1997,1,0,positive
BANGLADESH,MALAYSIA,1,1997,1997,1,0,positive
BANGLADESH,NORWAY,1,1997,1997,1,0,positive
BANGLADESH,USA,1,1997,1997,1,0,positive
CANADA,EUROPEAN UNION,1,1997,1997,1,0,positive
CANADA,G-77/CHINA,-1,1997,1997,0,1,negative
CANADA,JAPAN,2,1997,1997,2,0,positive
CANADA,NORWAY,3,1997,1997,3,0,positive
CANADA,USA,1,1997,1997,1,0,positive
CHINA,G-77/CHINA,2,1997,1997,2,0,positive
DENMARK,SWITZERLAND,1,1997,1997,1,0,positive
EUROPEAN UNION,USA,1,1997,1997,2,1,positive
G-77/CHINA,NORWAY,1,1997,1997,1,0,positive
G-77/CHINA,USA,1,1997,1997,1,0,positive
ICELAND,NORWAY,1,1997,1997,1,0,positive
JAPAN,NORWAY,1,1997,1997,1,0,positive
MALAYSIA,NORWAY,1,1997,1997,1,0,positive
MALAYSIA,USA,1,1997,1997,1,0,positive
NORWAY,USA,3,1997,1997,3,0,positive
ANTIGUA,BARBUDA,1,1998,1998,1,0,positive
BRAZIL,KENYA,1,1998,1998,1,0,positive
CANADA,SOUTH KOREA,1,1998,1998,1,0,positive
CHINA,G-77,1,1998,1998,1,0,positive
CHINA,SAUDI ARABIA,1,1998,1998,1,0,positive
EUROPEAN UNION,JAPAN,1,1998,1998,1,0,positive
EUROPEAN UNION,UMBRELLA GROUP,1,1998,1998,1,0,positive
GHANA,UK,1,1998,1998,1,0,positive
JAPAN,SLOVENIA,1,1998,1998,1,0,positive
SLOVENIA,USA,1,1998,1998,1,0,positive
SOUTH AFRICA,UGANDA,1,1998,1998,1,0,positive
AOSIS,G-77/CHINA,1,1999,1999,1,0,positive
AUSTRALIA,USA,2,1999,1999,2,0,positive
AZERBAIJAN,PAKISTAN,1,1999,1999,1,0,positive
BANGLADESH,BHUTAN,1,1999,1999,1,0,positive
CANADA,JAPAN,1,1999,1999,1,0,positive
CHINA,G-77/CHINA,1,1999,1999,1,0,positive
CHINA,INDIA,2,1999,1999,2,0,positive
COP-5,SBI-11,1,1999,1999,1,0,positive
EUROPEAN UNION,G-77/CHINA,1,1999,1999,1,0,positive
EUROPEAN UNION,JAPAN,1,1999,1999,1,0,positive
JAMAICA,MARSHALL ISLANDS,1,1999,1999,1,0,positive
JAPAN,MARSHALL ISLANDS,1,1999,1999,1,0,positive
JAPAN,SWITZERLAND,1,1999,1999,1,0,positive
KAZAKHSTAN,TURKEY,1,1999,1999,1,0,positive
MALAYSIA,MEXICO,1,1999,1999,1,0,positive
SAUDI ARABIA,SOUTH AFRICA,1,1999,1999,1,0,positive
ARGENTINA,EUROPEAN UNION,-1,2000,2000,0,1,negative
ARGENTINA,USA,-1,2000,2000,0,1,negative
AUSTRALIA,RUSSIA,1,2000,2000,1,0,positive
BOLIVIA,COLOMBIA,1,2000,2000,1,0,positive
EUROPEAN UNION,G-77/CHINA,1,2000,2000,1,0,positive
EUROPEAN UNION,USA,1,2000,2000,1,0,positive
G-77/CHINA,SAUDI ARABIA,1,2000,2000,1,0,positive
INDIA,NEW ZEALAND,-1,2000,2000,0,1,negative
MALAYSIA,THAILAND,1,2000,2000,1,0,positive
SOUTH AFRICA,TANZANIA,1,2000,2000,1,0,positive
AUSTRALIA,COLOMBIA,1,2001,2001,1,0,positive
AUSTRALIA,JAPAN,1,2001,2001,1,0,positive
