Source,Target,Weight,Start,End
GERMANY,USA,11,1996,1996
GERMANY,JAPAN,2,1996,1996
JAPAN,USA,4,1996,1996
CANADA,UK,3,1996,1996
CANADA,ICELAND,1,1996,1996
CANADA,DENMARK,2,1996,1996
AUSTRALIA,CANADA,6,1996,1996
CANADA,FRANCE,3,1996,1996
CANADA,NETHERLANDS,5,1996,1996
CANADA,GERMANY,6,1996,1996
CANADA,SWITZERLAND,5,1996,1996
ICELAND,UK,1,1996,1996
DENMARK,UK,2,1996,1996
AUSTRALIA,UK,1,1996,1996
FRANCE,UK,3,1996,1996
NETHERLANDS,UK,2,1996,1996
GERMANY,UK,2,1996,1996
SWITZERLAND,UK,3,1996,1996
DENMARK,ICELAND,1,1996,1996
AUSTRALIA,ICELAND,1,1996,1996
FRANCE,ICELAND,1,1996,1996
ICELAND,NETHERLANDS,1,1996,1996
GERMANY,ICELAND,1,1996,1996
ICELAND,SWITZERLAND,1,1996,1996
AUSTRALIA,DENMARK,2,1996,1996
DENMARK,FRANCE,2,1996,1996
DENMARK,NETHERLANDS,2,1996,1996
DENMARK,GERMANY,2,1996,1996
DENMARK,SWITZERLAND,2,1996,1996
AUSTRALIA,FRANCE,1,1996,1996
AUSTRALIA,NETHERLANDS,3,1996,1996
AUSTRALIA,GERMANY,4,1996,1996
AUSTRALIA,SWITZERLAND,3,1996,1996
FRANCE,NETHERLANDS,2,1996,1996
FRANCE,GERMANY,2,1996,1996
FRANCE,SWITZERLAND,3,1996,1996
GERMANY,NETHERLANDS,3,1996,1996
NETHERLANDS,SWITZERLAND,3,1996,1996
GERMANY,SWITZERLAND,4,1996,1996
MONACP,SAUDI ARABIA,1,1996,1996
MONACP,RUSSIA,1,1996,1996
MONACP,TANZANIA,1,1996,1996
CZECH REPUBLIC,MONACP,1,1996,1996
GERMANY,MONACP,1,1996,1996
HUNGARY,MONACP,1,1996,1996
ISRAEL,MONACP,1,1996,1996
MONACP,USA,1,1996,1996
MONACP,QATAR,1,1996,1996
MONACP,OECD,1,1996,1996
HUGARY,MONACP,1,1996,1996
MONACP,ZIMBABWE,1,1996,1996
RUSSIA,SAUDI ARABIA,6,1996,1996
SAUDI ARABIA,TANZANIA,1,1996,1996
CZECH REPUBLIC,SAUDI ARABIA,1,1996,1996
GERMANY,SAUDI ARABIA,5,1996,1996
HUNGARY,SAUDI ARABIA,2,1996,1996
ISRAEL,SAUDI ARABIA,1,1996,1996
SAUDI ARABIA,USA,8,1996,1996
QATAR,SAUDI ARABIA,2,1996,1996
OECD,SAUDI ARABIA,1,1996,1996
HUGARY,SAUDI ARABIA,2,1996,1996
SAUDI ARABIA,ZIMBABWE,2,1996,1996
RUSSIA,TANZANIA,1,1996,1996
CZECH REPUBLIC,RUSSIA,1,1996,1996
GERMANY,RUSSIA,5,1996,1996
HUNGARY,RUSSIA,2,1996,1996
ISRAEL,RUSSIA,1,1996,1996
RUSSIA,USA,7,1996,1996
QATAR,RUSSIA,2,1996,1996
OECD,RUSSIA,1,1996,1996
HUGARY,RUSSIA,2,1996,1996
RUSSIA,ZIMBABWE,1,1996,1996
CZECH REPUBLIC,TANZANIA,2,1996,1996
GERMANY,TANZANIA,1,1996,1996
HUNGARY,TANZANIA,2,1996,1996
ISRAEL,TANZANIA,1,1996,1996
TANZANIA,USA,2,1996,1996
QATAR,TANZANIA,1,1996,1996
OECD,TANZANIA,2,1996,1996
HUGARY,TANZANIA,2,1996,1996
TANZANIA,ZIMBABWE,1,1996,1996
CZECH REPUBLIC,GERMANY,1,1996,1996
CZECH REPUBLIC,HUNGARY,2,1996,1996
CZECH REPUBLIC,ISRAEL,1,1996,1996
CZECH REPUBLIC,USA,2,1996,1996
CZECH REPUBLIC,QATAR,1,1996,1996
CZECH REPUBLIC,OECD,2,1996,1996
CZECH REPUBLIC,HUGARY,2,1996,1996
CZECH REPUBLIC,ZIMBABWE,1,1996,1996
GERMANY,HUNGARY,2,1996,1996
GERMANY,ISRAEL,1,1996,1996
GERMANY,QATAR,2,1996,1996
GERMANY,OECD,3,1996,1996
GERMANY,HUGARY,2,1996,1996
GERMANY,ZIMBABWE,2,1996,1996
HUNGARY,ISRAEL,1,1996,1996
HUNGARY,USA,4,1996,1996
HUNGARY,QATAR,1,1996,1996
HUNGARY,OECD,3,1996,1996
HUGARY,HUNGARY,6,1996,1996
HUNGARY,ZIMBABWE,1,1996,1996
ISRAEL,USA,1,1996,1996
ISRAEL,QATAR,1,1996,1996
ISRAEL,OECD,1,1996,1996
HUGARY,ISRAEL,1,1996,1996
ISRAEL,ZIMBABWE,1,1996,1996
