Source,Target,Weight,Start,End,Positive_count,Negative_count
AOSIS,EUROPEAN UNION,1,1996,1996,1,0
AUSTRALIA,USA,1,1996,1996,1,0
BURKINA FASO,IRAN,1,1996,1996,1,0
CHINA,MALAYSIA,1,1996,1996,1,0
DENMARK,SWEDEN,1,1996,1996,1,0
EL SALVADOR,PHILIPPINES,1,1996,1996,1,0
GEORGIA,INDIA,1,1996,1996,1,0
GEORGIA,PAKISTAN,1,1996,1996,1,0
INDIA,PAKISTAN,1,1996,1996,1,0
INDONESIA,UGANDA,1,1996,1996,1,0
IRAN,USA,1,1996,1996,1,0
JAPAN,USA,1,1996,1996,1,0
KUWAIT,SAUDI ARABIA,0,1996,1996,2,2
KUWAIT,VENEZUELA,1,1996,1996,1,0
RUSSIA,SAUDI ARABIA,1,1996,1996,1,0
SUDAN,TURKMENISTAN,1,1996,1996,1,0
ARGENTINA,MALTA,1,1997,1997,1,0
AUSTRALIA,BANGLADESH,1,1997,1997,1,0
AUSTRALIA,MALAYSIA,1,1997,1997,1,0
AUSTRALIA,NORWAY,1,1997,1997,1,0
AUSTRALIA,USA,1,1997,1997,1,0
BANGLADESH,MALAYSIA,1,1997,1997,1,0
BANGLADESH,NORWAY,1,1997,1997,1,0
BANGLADESH,USA,1,1997,1997,1,0
CANADA,EUROPEAN UNION,1,1997,1997,1,0
CANADA,G-77/CHINA,-1,1997,1997,0,1
CANADA,JAPAN,1,1997,1997,1,0
CANADA,NORWAY,2,1997,1997,2,0
CANADA,USA,1,1997,1997,1,0
CHINA,G-77/CHINA,2,1997,1997,2,0
DENMARK,SWITZERLAND,1,1997,1997,1,0
EUROPEAN UNION,G-77/CHINA,-1,1997,1997,0,1
EUROPEAN UNION,USA,1,1997,1997,2,1
G-77/CHINA,USA,0,1997,1997,1,1
ICELAND,NORWAY,1,1997,1997,1,0
JAPAN,NORWAY,1,1997,1997,1,0
MALAYSIA,NORWAY,1,1997,1997,1,0
MALAYSIA,USA,1,1997,1997,1,0
NORWAY,USA,3,1997,1997,3,0
BRAZIL,KENYA,1,1998,1998,1,0
CANADA,SOUTH KOREA,1,1998,1998,1,0
CANADA,USA,1,1998,1998,1,0
CHINA,G-77/CHINA,-1,1998,1998,0,1
CHINA,SAUDI ARABIA,1,1998,1998,1,0
EUROPEAN UNION,JAPAN,1,1998,1998,1,0
EUROPEAN UNION,UMBRELLA GROUP,1,1998,1998,1,0
EUROPEAN UNION,USA,2,1998,1998,2,0
GHANA,UK,1,1998,1998,1,0
JAPAN,SLOVENIA,1,1998,1998,1,0
NIGERIA,USA,-1,1998,1998,0,1
SLOVENIA,USA,1,1998,1998,1,0
SOUTH AFRICA,UGANDA,1,1998,1998,1,0
UMBRELLA GROUP,USA,1,1998,1998,1,0
AOSIS,CHINA,1,1999,1999,1,0
AUSTRALIA,USA,2,1999,1999,2,0
AZERBAIJAN,PAKISTAN,1,1999,1999,1,0
BANGLADESH,BHUTAN,1,1999,1999,1,0
CANADA,JAPAN,1,1999,1999,1,0
CHINA,G-77/CHINA,1,1999,1999,1,0
CHINA,INDIA,2,1999,1999,2,0
EUROPEAN UNION,G-77/CHINA,1,1999,1999,1,0
EUROPEAN UNION,JAPAN,1,1999,1999,1,0
JAMAICA,MARSHALL ISLANDS,1,1999,1999,1,0
JAPAN,MARSHALL ISLANDS,1,1999,1999,1,0
JAPAN,SWITZERLAND,1,1999,1999,1,0
MALAYSIA,MEXICO,1,1999,1999,1,0
SAUDI ARABIA,SOUTH AFRICA,1,1999,1999,1,0
ARGENTINA,EUROPEAN UNION,-1,2000,2000,0,1
ARGENTINA,USA,-1,2000,2000,0,1
AUSTRALIA,RUSSIA,1,2000,2000,1,0
BOLIVIA,COLOMBIA,1,2000,2000,1,0
EUROPEAN UNION,G-77/CHINA,1,2000,2000,1,0
EUROPEAN UNION,USA,1,2000,2000,1,0
G-77/CHINA,SAUDI ARABIA,1,2000,2000,1,0
INDIA,NEW ZEALAND,-1,2000,2000,0,1
MALAYSIA,THAILAND,1,2000,2000,1,0
SOUTH AFRICA,TANZANIA,1,2000,2000,1,0
AUSTRALIA,COLOMBIA,1,2001,2001,1,0
AUSTRALIA,JAPAN,1,2001,2001,1,0
CANADA,JAPAN,1,2001,2001,1,0
CENTRAL AFRICAN REPUBLIC,SENEGAL,1,2001,2001,1,0
CHINA,MALAYSIA,1,2001,2001,1,0
EUROPEAN UNION,G-77/CHINA,1,2001,2001,1,0
EUROPEAN UNION,UMBRELLA GROUP,2,2001,2001,2,0
G-77/CHINA,SAUDI ARABIA,1,2001,2001,1,0
KUWAIT,SAUDI ARABIA,1,2001,2001,1,0
MALAYSIA,THAILAND,1,2001,2001,1,0
AUSTRALIA,JAPAN,1,2002,2002,1,0
BULGARIA,CANADA,1,2002,2002,1,0
BULGARIA,SWITZERLAND,1,2002,2002,1,0
CANADA,SWITZERLAND,1,2002,2002,1,0
DENMARK,FINLAND,1,2002,2002,1,0
EUROPEAN UNION,MEXICO,1,2002,2002,1,0
EUROPEAN UNION,SAUDI ARABIA,-2,2002,2002,0,2
KENYA,UGANDA,1,2002,2002,1,0
MEXICO,SAUDI ARABIA,-1,2002,2002,0,1
BRAZIL,CHINA,1,2003,2003,1,0
EUROPEAN UNION,G-77/CHINA,1,2003,2003,1,0
EUROPEAN UNION,USA,1,2003,2003,1,0
Global Unions,International Confederation of Free Trade Unions,1,2003,2003,1,0
Maldives,Mauritius,1,2003,2003,1,0
COSTA RICA,PAPUA NEW GUINEA,1,2005,2005,1,0
JAPAN,NEW ZEALAND,1,2005,2005,1,0
JAPAN,USA,1,2005,2005,1,0
AFRICAN GROUP,SAUDI ARABIA,1,2006,2006,1,0
ARGENTINA,JAPAN,1,2006,2006,1,0
CANADA,EUROPEAN UNION,1,2006,2006,1,0
BELARUS,EUROPEAN UNION,1,2007,2007,1,0
CANADA,RUSSIA,1,2007,2007,1,0
COLOMBIA,JAPAN,-1,2007,2007,0,1
COLOMBIA,PAPUA NEW GUINEA,1,2007,2007,1,0
EUROPEAN UNION,JAPAN,1,2007,2007,1,0
JAPAN,PAPUA NEW GUINEA,-1,2007,2007,0,1
KUWAIT,SAUDI ARABIA,1,2007,2007,1,0
RUSSIA,UKRAINE,1,2007,2007,1,0
UMBRELLA GROUP,USA,1,2007,2007,1,0
