Source,Target,Weight,Start,End,Positive_count,Negative_count,Sign
AOSIS,EUROPEAN UNION,1,1996,1996,1,0,positive
AUSTRALIA,USA,1,1996,1996,1,0,positive
BURKINA FASO,IRAN,1,1996,1996,1,0,positive
CHINA,MALAYSIA,1,1996,1996,1,0,positive
DENMARK,SWEDEN,1,1996,1996,1,0,positive
EL SALVADOR,PHILIPPINES,1,1996,1996,1,0,positive
GEORGIA,INDIA,1,1996,1996,1,0,positive
GEORGIA,PAKISTAN,1,1996,1996,1,0,positive
INDIA,PAKISTAN,1,1996,1996,1,0,positive
INDONESIA,UGANDA,1,1996,1996,1,0,positive
IRAN,USA,1,1996,1996,1,0,positive
JAPAN,USA,1,1996,1996,1,0,positive
KUWAIT,SAUDI ARABIA,0,1996,1996,2,2,neutral
KUWAIT,VENEZUELA,1,1996,1996,1,0,positive
RUSSIA,SAUDI ARABIA,1,1996,1996,1,0,positive
SUDAN,TURKMENISTAN,1,1996,1996,1,0,positive
ARGENTINA,MALTA,1,1997,1997,1,0,positive
AUSTRALIA,BANGLADESH,1,1997,1997,1,0,positive
AUSTRALIA,MALAYSIA,1,1997,1997,1,0,positive
AUSTRALIA,NORWAY,1,1997,1997,1,0,positive
AUSTRALIA,USA,1,1997,1997,1,0,positive
BANGLADESH,MALAYSIA,1,1997,1997,1,0,positive
BANGLADESH,NORWAY,1,1997,1997,1,0,positive
BANGLADESH,USA,1,1997,1997,1,0,positive
CANADA,EUROPEAN UNION,1,1997,1997,1,0,positive
CANADA,G-77/CHINA,-1,1997,1997,0,1,negative
CANADA,JAPAN,1,1997,1997,1,0,positive
CANADA,NORWAY,2,1997,1997,2,0,positive
CANADA,USA,1,1997,1997,1,0,positive
CHINA,G-77/CHINA,2,1997,1997,2,0,positive
DENMARK,SWITZERLAND,1,1997,1997,1,0,positive
EUROPEAN UNION,G-77/CHINA,-1,1997,1997,0,1,negative
EUROPEAN UNION,USA,1,1997,1997,2,1,positive
G-77/CHINA,USA,0,1997,1997,1,1,neutral
ICELAND,NORWAY,1,1997,1997,1,0,positive
JAPAN,NORWAY,1,1997,1997,1,0,positive
MALAYSIA,NORWAY,1,1997,1997,1,0,positive
MALAYSIA,USA,1,1997,1997,1,0,positive
NORWAY,USA,3,1997,1997,3,0,positive
BRAZIL,KENYA,1,1998,1998,1,0,positive
CANADA,SOUTH KOREA,1,1998,1998,1,0,positive
CANADA,USA,1,1998,1998,1,0,positive
CHINA,G-77/CHINA,-1,1998,1998,0,1,negative
CHINA,SAUDI ARABIA,1,1998,1998,1,0,positive
EUROPEAN UNION,JAPAN,1,1998,1998,1,0,positive
EUROPEAN UNION,UMBRELLA GROUP,1,1998,1998,1,0,positive
EUROPEAN UNION,USA,2,1998,1998,2,0,positive
GHANA,UK,1,1998,1998,1,0,positive
JAPAN,SLOVENIA,1,1998,1998,1,0,positive
NIGERIA,USA,-1,1998,1998,0,1,negative
SLOVENIA,USA,1,1998,1998,1,0,positive
SOUTH AFRICA,UGANDA,1,1998,1998,1,0,positive
UMBRELLA GROUP,USA,1,1998,1998,1,0,positive
AOSIS,CHINA,1,1999,1999,1,0,positive
AUSTRALIA,USA,2,1999,1999,2,0,positive
AZERBAIJAN,PAKISTAN,1,1999,1999,1,0,positive
BANGLADESH,BHUTAN,1,1999,1999,1,0,positive
CANADA,JAPAN,1,1999,1999,1,0,positive
CHINA,G-77/CHINA,1,1999,1999,1,0,positive
CHINA,INDIA,2,1999,1999,2,0,positive
EUROPEAN UNION,G-77/CHINA,1,1999,1999,1,0,positive
EUROPEAN UNION,JAPAN,1,1999,1999,1,0,positive
JAMAICA,MARSHALL ISLANDS,1,1999,1999,1,0,positive
JAPAN,MARSHALL ISLANDS,1,1999,1999,1,0,positive
JAPAN,SWITZERLAND,1,1999,1999,1,0,positive
MALAYSIA,MEXICO,1,1999,1999,1,0,positive
SAUDI ARABIA,SOUTH AFRICA,1,1999,1999,1,0,positive
