year,paragraph_id,actor,predicate,negotiation_point,predicate_type
1996,4,USA,saw a significant shift in position by,position,other
1996,24,UK,provides support for the Bulletin during 1996,the Bulletin during 1996,support
1996,25,FRANCE,for the French version,ACCT/IEPF,other
1996,57,Delegates,adopted,SBI’s work programme,support
1996,57,Delegates,recommended,the COP adopt the draft Memorandum of Understanding with the GEF as the financial mechanism,support
1996,82,RUSSIA,proposed,the Plenary be extended to allow the Parties to determine how the SAR should be used in making decisions,support
1996,85,HUNGARY,said his group would report its findings on the SAR to the COP,findings on the SAR,other
1996,86,SAUDI ARABIA,cautioned against,a selective approach to the SAR findings,opposition
1996,89,CZECH REPUBLIC,Available,,other
1996,91,SAUDI ARABIA,said,agreement on rule 22 (election of officers),other
1996,94,SAUDI ARABIA,objected to,the nomination of a Bureau member from Samoa to represent the SIDS,opposition
1996,95,USA,said it was important to follow precedent in the election of officers to the Bureau and include the SIDS nominee,follow precedent in the election of officers to the Bureau and include the SIDS nominee,support
1996,97,GERMANY,said,the SIDS were represented in the Bureau of the INC in 1991,other
1996,98,SAUDI ARABIA,said he could not support,the elections as proposed,opposition
1996,104,SAUDI ARABIA,expressed concern about the COP’s failure to adopt the rules of procedure,adoption of the rules of procedure,opposition
1996,104,KUWAIT,expressed concern about the COP’s failure to adopt the rules of procedure,adoption of the rules of procedure,opposition
1996,105,SWITZERLAND,chaired by Ruth Dreifuss,informal Round Table meeting,other
1996,112,IRAN,announced its ratification of the FCCC,FCCC,other
1996,114,TURKEY,explained that it had not signed the FCCC because its status as a developed or developing country is uncertain,FCCC,other
1996,115,SOUTH AFRICA,said ratification has been slow and it has begun an inventory of internal emissions,ratification,other
1996,116,OPEC,stated that the IPCC “broke the rules”,implying consensus among scientists in its conclusions,opposition
1996,120,HUNGARY,expressing hope,the spirit of cooperation would prevail,other
1996,121,VENEZUELA,suggested that a written report accompany SBSTA decisions,a written report accompany SBSTA decisions,support
1996,121,KUWAIT,suggested that a written report accompany SBSTA decisions,a written report accompany SBSTA decisions,support
1996,128,INDIA,said,natural climate variation and the effects of extraterritorial activities on climate change should be studied in greater detail,support
1996,128,PAKISTAN,thought,the SAR should be amended to reflect regional differences in climate change,support
