year,sentence_id,actor,predicate,negotiation_point,predicate_type
1996,4,USA,saw a significant shift in position by the US,position,other
1996,24,UK,provides,General support for the Bulletin during 1996,support
1996,31,GERMANY,established,an open-ended Ad Hoc Group on the Berlin Mandate (AGBM),other
1996,82,RUSSIA,proposed,the Plenary be extended to allow the Parties to determine how the SAR should be used in making decisions,support
1996,85,HUNGARY,said his group would report its findings,SAR,other
1996,86,SAUDI ARABIA,cautioned against,a selective approach to the SAR findings,opposition
1996,91,SAUDI ARABIA,said agreement on rule 22 (election of officers) is also pending,rule 22 (election of officers),other
1996,94,SAUDI ARABIA,objected to,the nomination of a Bureau member from Samoa to represent the SIDS,opposition
1996,95,USA,said it was important to follow precedent in the election of officers to the Bureau and include the SIDS nominee,follow precedent in the election of officers to the Bureau and include the SIDS nominee,support
1996,97,GERMANY,said,the SIDS were represented in the Bureau of the INC in 1991,other
1996,98,SAUDI ARABIA,could not support,the elections as proposed,opposition
1996,104,SAUDI ARABIA,expressed concern about the COP’s failure to adopt,the rules of procedure,opposition
1996,104,SAUDI ARABIA,said that a compromise must be reached soon,a compromise must be reached soon,support
1996,104,KUWAIT,expressed concern about the COP’s failure to adopt,the rules of procedure,opposition
1996,104,KUWAIT,said that a compromise must be reached soon,a compromise must be reached soon,support
1996,105,SWITZERLAND,to be chaired by,one informal Round Table meeting,other
1996,112,IRAN,announced its ratification of,the FCCC,support
1996,114,TURKEY,explained that it had not signed the FCCC,FCCC,other
1996,114,TURKEY,explained that it had not signed the FCCC,its status as a developed or developing country is uncertain,other
1996,115,SOUTH AFRICA,said ratification has been slow,ratification,other
1996,115,SOUTH AFRICA,has begun an inventory of internal emissions,inventory of internal emissions,other
1996,116,OPEC,stated that the IPCC “broke the rules”,implying consensus among scientists in its conclusions,opposition
1996,120,HUGARY,expressed hope,the spirit of cooperation would prevail,other
1996,121,VENEZUELA,suggested,a written report accompany SBSTA decisions,support
1996,121,KUWAIT,suggested,a written report accompany SBSTA decisions,support
1996,126,RUSSIA,disagreed,Available,opposition
1996,128,INDIA,said,natural climate variation and the effects of extraterritorial activities on climate change should be studied in greater detail,support
1996,128,PAKISTAN,thought the SAR should be amended,to reflect regional differences in climate change,support
1996,128,GEORGIA,thought the SAR should be amended,to reflect regional differences in climate change,support
1996,135,JAPAN,proposed,a separate informal session to revise the guidelines,support
1996,135,USA,proposed,a separate informal session to revise the guidelines,support
1996,136,G-77/CHINA,called,for a more ambitious outcome on finance,other
1996,137,MOROCCO,said capacity building mechanisms should also be included,capacity building mechanisms,support
1996,138,EUROPEAN UNION,supported expanding the minimal information required,expanding the minimal information required,support
1996,138,EUROPEAN UNION,suggested that revised guidelines include targets and timetables,revised guidelines include targets and timetables,support
1996,139,AUSTRALIA,called for,the inclusion of performance indicators,support
1996,147,PHILIPPINES,stated that,non-Annex I Parties’ increased responsibilities should be reflected in funding mechanisms,support
1996,152,PHILIPPINES,highlighted the need for,capacity building and analysis of social impacts for AIJ projects,support
1996,152,EL SALVADOR,highlighted the need for,capacity building and analysis of social impacts for AIJ projects,support
1996,154,NORWAY,thought it was premature,draw conclusions from the pilot phase at this time,opposition
1996,154,NORWAY,proposed,the establishment of an AIJ forum at SBSTA’s December 1996 meeting,support
1996,155,CHINA,suggested postponing,AIJ workshops until after COP-3,support
1996,155,MALAYSIA,suggested postponing,AIJ workshops until after COP-3,support
1996,156,IRAN,should be considered,the cost-effectiveness of AIJ projects,support
1996,156,IRAN,noted,some projects have been financed with GEF funds,other
1996,160,EUROPEAN UNION,said priority should be given to,identifying technology needs,support
1996,161,IRAN,called for the establishment of,an information center/clearinghouse for technology transfer,support
1996,161,USA,called for the establishment of,an information center/clearinghouse for technology transfer,support
1996,162,CANADA,called for,the creation of an environment enabling input from the private sector,support
1996,163,NETHERLANDS,described,the Climate Technology Institute,other
1996,170,USA,said expanding access to only one type of NGO would be inappropriate,expanding access to only one type of NGO,opposition
1996,170,USA,suggested that existing consultative channels for all NGOs be strengthened,existing consultative channels for all NGOs be strengthened,support
1996,171,USA,supported,US position,support
1996,173,NEW ZEALAND,take the lead in forming a contact group on the issue,forming a contact group on the issue,support
1996,174,NEW ZEALAND,presented,the draft results of the group,other
1996,180,KIRIBATI,called for,the inclusion of an expert on fisheries,support
